id,Fecha,Fuente,Moneda_Numerador,Moneda_Denominador,Valor
0,2019-01-02,BBG,AUD,CLP,487.95
1,2019-01-02,BBG,BRL,CLP,183.3
2,2019-01-02,BBG,CAD,CLP,513.4723
3,2019-01-02,BBG,CAD,USD,1.3576
4,2019-01-02,BBG,CLF,CLP,27565.79
5,2019-01-02,BBG,COP,CLP,0.2158
6,2019-01-02,BBG,EUR,CLP,791.1588
7,2019-01-02,BBG,EUR,USD,0.8811
8,2019-01-02,BBG,GBP,CLP,878.0577
9,2019-01-02,BBG,GBP,USD,0.7939
10,2019-01-02,BBG,JPY,CLP,6.38
11,2019-01-02,BBG,MXN,CLP,35.6531
12,2019-01-02,BBG,PEN,CLP,206.9868
13,2019-01-02,BBG,USD,BRL,3.803
14,2019-01-02,BBG,USD,CLP,697.09
15,2019-01-02,BBG,USD,COP,3230.83
16,2019-01-02,BBG,USD,MXN,19.552
17,2019-01-02,BBG,USD,PEN,3.3678
18,2019-01-03,BBG,AUD,CLP,489.26
19,2019-01-03,BBG,BRL,CLP,186.077
20,2019-01-03,BBG,CAD,CLP,517.4219
21,2019-01-03,BBG,CAD,USD,1.3483
22,2019-01-03,BBG,CLF,CLP,27565.79
23,2019-01-03,BBG,COP,CLP,0.2149
24,2019-01-03,BBG,EUR,CLP,795.4846
25,2019-01-03,BBG,EUR,USD,0.877
26,2019-01-03,BBG,GBP,CLP,881.8607
27,2019-01-03,BBG,GBP,USD,0.7911
28,2019-01-03,BBG,JPY,CLP,6.46
29,2019-01-03,BBG,MXN,CLP,35.5882
30,2019-01-03,BBG,PEN,CLP,207.0763
31,2019-01-03,BBG,USD,BRL,3.7492
32,2019-01-03,BBG,USD,CLP,697.64
33,2019-01-03,BBG,USD,COP,3245.86
34,2019-01-03,BBG,USD,MXN,19.6031
35,2019-01-03,BBG,USD,PEN,3.369
36,2019-01-04,BBG,AUD,CLP,489.32
37,2019-01-04,BBG,BRL,CLP,185.3431
38,2019-01-04,BBG,CAD,CLP,513.6313
39,2019-01-04,BBG,CAD,USD,1.3403
40,2019-01-04,BBG,CLF,CLP,27565.79
41,2019-01-04,BBG,COP,CLP,0.2154
42,2019-01-04,BBG,EUR,CLP,784.7031
43,2019-01-04,BBG,EUR,USD,0.8773
44,2019-01-04,BBG,GBP,CLP,875.8524
45,2019-01-04,BBG,GBP,USD,0.786
46,2019-01-04,BBG,JPY,CLP,6.35
47,2019-01-04,BBG,MXN,CLP,35.4104
48,2019-01-04,BBG,PEN,CLP,205.5721
49,2019-01-04,BBG,USD,BRL,3.7143
50,2019-01-04,BBG,USD,CLP,688.42
51,2019-01-04,BBG,USD,COP,3195.46
52,2019-01-04,BBG,USD,MXN,19.4412
53,2019-01-04,BBG,USD,PEN,3.3488
54,2019-01-07,BBG,AUD,CLP,485.49
55,2019-01-07,BBG,BRL,CLP,182.5848
56,2019-01-07,BBG,CAD,CLP,510.9683
57,2019-01-07,BBG,CAD,USD,1.3302
58,2019-01-07,BBG,CLF,CLP,27565.79
59,2019-01-07,BBG,COP,CLP,0.2139
60,2019-01-07,BBG,EUR,CLP,779.2823
61,2019-01-07,BBG,EUR,USD,0.8722
62,2019-01-07,BBG,GBP,CLP,867.9479
63,2019-01-07,BBG,GBP,USD,0.7831
64,2019-01-07,BBG,JPY,CLP,6.26
65,2019-01-07,BBG,MXN,CLP,35.1865
66,2019-01-07,BBG,PEN,CLP,202.9168
67,2019-01-07,BBG,USD,BRL,3.7226
68,2019-01-07,BBG,USD,CLP,679.69
69,2019-01-07,BBG,USD,COP,3177.09
70,2019-01-07,BBG,USD,MXN,19.3168
71,2019-01-07,BBG,USD,PEN,3.3496
72,2019-01-08,BBG,AUD,CLP,485.51
73,2019-01-08,BBG,BRL,CLP,183.187
74,2019-01-08,BBG,CAD,CLP,511.3918
75,2019-01-08,BBG,CAD,USD,1.3299
76,2019-01-08,BBG,CLF,CLP,27565.79
77,2019-01-08,BBG,COP,CLP,0.2162
78,2019-01-08,BBG,EUR,CLP,778.5027
79,2019-01-08,BBG,EUR,USD,0.8736
80,2019-01-08,BBG,GBP,CLP,864.7171
81,2019-01-08,BBG,GBP,USD,0.7865
82,2019-01-08,BBG,JPY,CLP,6.26
83,2019-01-08,BBG,MXN,CLP,35.1926
84,2019-01-08,BBG,PEN,CLP,203.44
85,2019-01-08,BBG,USD,BRL,3.7126
86,2019-01-08,BBG,USD,CLP,680.1
87,2019-01-08,BBG,USD,COP,3145.75
88,2019-01-08,BBG,USD,MXN,19.3251
89,2019-01-08,BBG,USD,PEN,3.343
90,2019-01-09,BBG,AUD,CLP,486.47
91,2019-01-09,BBG,BRL,CLP,183.9187
92,2019-01-09,BBG,CAD,CLP,512.9662
93,2019-01-09,BBG,CAD,USD,1.3219
94,2019-01-09,BBG,CLF,CLP,27565.79
95,2019-01-09,BBG,COP,CLP,0.2164
96,2019-01-09,BBG,EUR,CLP,781.7501
97,2019-01-09,BBG,EUR,USD,0.8674
98,2019-01-09,BBG,GBP,CLP,865.7942
99,2019-01-09,BBG,GBP,USD,0.7832
100,2019-01-09,BBG,JPY,CLP,6.26
101,2019-01-09,BBG,MXN,CLP,35.2493
102,2019-01-09,BBG,PEN,CLP,203.4718
103,2019-01-09,BBG,USD,BRL,3.6869
104,2019-01-09,BBG,USD,CLP,678.09
105,2019-01-09,BBG,USD,COP,3133.44
106,2019-01-09,BBG,USD,MXN,19.237
107,2019-01-09,BBG,USD,PEN,3.3326
108,2019-01-10,BBG,AUD,CLP,486.91
109,2019-01-10,BBG,BRL,CLP,182.5918
110,2019-01-10,BBG,CAD,CLP,511.7287
111,2019-01-10,BBG,CAD,USD,1.3241
112,2019-01-10,BBG,CLF,CLP,27564.9
113,2019-01-10,BBG,COP,CLP,0.216
114,2019-01-10,BBG,EUR,CLP,779.7238
115,2019-01-10,BBG,EUR,USD,0.869
116,2019-01-10,BBG,GBP,CLP,864.15
117,2019-01-10,BBG,GBP,USD,0.7841
118,2019-01-10,BBG,JPY,CLP,6.26
119,2019-01-10,BBG,MXN,CLP,35.3184
120,2019-01-10,BBG,PEN,CLP,202.9594
121,2019-01-10,BBG,USD,BRL,3.7109
122,2019-01-10,BBG,USD,CLP,677.58
123,2019-01-10,BBG,USD,COP,3136.8
124,2019-01-10,BBG,USD,MXN,19.1849
125,2019-01-10,BBG,USD,PEN,3.3385
126,2019-01-11,BBG,AUD,CLP,486.7
127,2019-01-11,BBG,BRL,CLP,182.1677
128,2019-01-11,BBG,CAD,CLP,509.355
129,2019-01-11,BBG,CAD,USD,1.3255
130,2019-01-11,BBG,CLF,CLP,27564.01
131,2019-01-11,BBG,COP,CLP,0.2151
132,2019-01-11,BBG,EUR,CLP,775.2325
133,2019-01-11,BBG,EUR,USD,0.8709
134,2019-01-11,BBG,GBP,CLP,868.3601
135,2019-01-11,BBG,GBP,USD,0.7775
136,2019-01-11,BBG,JPY,CLP,6.23
137,2019-01-11,BBG,MXN,CLP,35.3112
138,2019-01-11,BBG,PEN,CLP,201.911
139,2019-01-11,BBG,USD,BRL,3.7062
140,2019-01-11,BBG,USD,CLP,675.15
141,2019-01-11,BBG,USD,COP,3138.85
142,2019-01-11,BBG,USD,MXN,19.12
143,2019-01-11,BBG,USD,PEN,3.3438
144,2019-01-14,BBG,AUD,CLP,486.03
145,2019-01-14,BBG,BRL,CLP,182.9579
146,2019-01-14,BBG,CAD,CLP,508.5135
147,2019-01-14,BBG,CAD,USD,1.3273
148,2019-01-14,BBG,CLF,CLP,27561.34
149,2019-01-14,BBG,COP,CLP,0.2154
150,2019-01-14,BBG,EUR,CLP,774.6471
151,2019-01-14,BBG,EUR,USD,0.8713
152,2019-01-14,BBG,GBP,CLP,869.6689
153,2019-01-14,BBG,GBP,USD,0.7761
154,2019-01-14,BBG,JPY,CLP,6.24
155,2019-01-14,BBG,MXN,CLP,35.5583
156,2019-01-14,BBG,PEN,CLP,202.0385
157,2019-01-14,BBG,USD,BRL,3.6891
158,2019-01-14,BBG,USD,CLP,674.95
159,2019-01-14,BBG,USD,COP,3133.18
160,2019-01-14,BBG,USD,MXN,18.9815
161,2019-01-14,BBG,USD,PEN,3.3407
162,2019-01-15,BBG,AUD,CLP,484.51
163,2019-01-15,BBG,BRL,CLP,181.2596
164,2019-01-15,BBG,CAD,CLP,507.617
165,2019-01-15,BBG,CAD,USD,1.3273
166,2019-01-15,BBG,CLF,CLP,27560.45
167,2019-01-15,BBG,COP,CLP,0.2149
168,2019-01-15,BBG,EUR,CLP,767.3804
169,2019-01-15,BBG,EUR,USD,0.878
170,2019-01-15,BBG,GBP,CLP,857.9651
171,2019-01-15,BBG,GBP,USD,0.7853
172,2019-01-15,BBG,JPY,CLP,6.2
173,2019-01-15,BBG,MXN,CLP,35.4156
174,2019-01-15,BBG,PEN,CLP,201.9543
175,2019-01-15,BBG,USD,BRL,3.7171
176,2019-01-15,BBG,USD,CLP,673.76
177,2019-01-15,BBG,USD,COP,3134.82
178,2019-01-15,BBG,USD,MXN,19.0244
179,2019-01-15,BBG,USD,PEN,3.3362
180,2019-01-16,BBG,AUD,CLP,483.07
181,2019-01-16,BBG,BRL,CLP,180.8268
182,2019-01-16,BBG,CAD,CLP,507.9891
183,2019-01-16,BBG,CAD,USD,1.3243
184,2019-01-16,BBG,CLF,CLP,27559.56
185,2019-01-16,BBG,COP,CLP,0.2161
186,2019-01-16,BBG,EUR,CLP,767.081
187,2019-01-16,BBG,EUR,USD,0.877
188,2019-01-16,BBG,GBP,CLP,864.9139
189,2019-01-16,BBG,GBP,USD,0.7778
190,2019-01-16,BBG,JPY,CLP,6.18
191,2019-01-16,BBG,MXN,CLP,35.46
192,2019-01-16,BBG,PEN,CLP,201.9846
193,2019-01-16,BBG,USD,BRL,3.7203
194,2019-01-16,BBG,USD,CLP,672.73
195,2019-01-16,BBG,USD,COP,3113.02
196,2019-01-16,BBG,USD,MXN,18.9715
197,2019-01-16,BBG,USD,PEN,3.3306
198,2019-01-17,BBG,AUD,CLP,481.44
199,2019-01-17,BBG,BRL,CLP,178.5131
200,2019-01-17,BBG,CAD,CLP,504.6756
201,2019-01-17,BBG,CAD,USD,1.3303
202,2019-01-17,BBG,CLF,CLP,27558.67
203,2019-01-17,BBG,COP,CLP,0.214
204,2019-01-17,BBG,EUR,CLP,764.3101
205,2019-01-17,BBG,EUR,USD,0.8784
206,2019-01-17,BBG,GBP,CLP,869.3124
207,2019-01-17,BBG,GBP,USD,0.7723
208,2019-01-17,BBG,JPY,CLP,6.16
209,2019-01-17,BBG,MXN,CLP,35.2266
210,2019-01-17,BBG,PEN,CLP,201.8126
211,2019-01-17,BBG,USD,BRL,3.7609
212,2019-01-17,BBG,USD,CLP,671.37
213,2019-01-17,BBG,USD,COP,3136.55
214,2019-01-17,BBG,USD,MXN,19.0586
215,2019-01-17,BBG,USD,PEN,3.3267
216,2019-01-18,BBG,AUD,CLP,480.67
217,2019-01-18,BBG,BRL,CLP,178.005
218,2019-01-18,BBG,CAD,CLP,505.4307
219,2019-01-18,BBG,CAD,USD,1.3258
220,2019-01-18,BBG,CLF,CLP,27557.78
221,2019-01-18,BBG,COP,CLP,0.2144
222,2019-01-18,BBG,EUR,CLP,761.1313
223,2019-01-18,BBG,EUR,USD,0.8804
224,2019-01-18,BBG,GBP,CLP,863.8649
225,2019-01-18,BBG,GBP,USD,0.7757
226,2019-01-18,BBG,JPY,CLP,6.1
227,2019-01-18,BBG,MXN,CLP,35.0539
228,2019-01-18,BBG,PEN,CLP,201.9773
229,2019-01-18,BBG,USD,BRL,3.7645
230,2019-01-18,BBG,USD,CLP,670.1
231,2019-01-18,BBG,USD,COP,3126.0
232,2019-01-18,BBG,USD,MXN,19.1163
233,2019-01-18,BBG,USD,PEN,3.3177
234,2019-01-21,BBG,AUD,CLP,481.33
235,2019-01-21,BBG,BRL,CLP,178.9541
236,2019-01-21,BBG,CAD,CLP,505.8071
